iter	Passed	Remaining
0	0	66
1	0	58
2	0	51
3	1	49
4	1	49
5	1	48
6	1	46
7	1	45
8	2	44
9	2	43
10	2	43
11	2	41
12	2	41
13	3	40
14	3	40
15	3	39
16	3	39
17	3	39
18	4	38
19	4	38
20	4	38
21	4	37
22	4	37
23	5	37
24	5	36
25	5	36
26	5	36
27	5	36
28	6	35
29	6	35
30	6	35
31	6	35
32	6	34
33	7	34
34	7	34
35	7	34
36	7	33
37	7	33
38	8	33
39	8	33
40	8	32
41	8	32
42	8	32
43	9	32
44	9	31
45	9	31
46	9	31
47	9	31
48	10	30
49	10	30
50	10	30
51	10	30
52	10	29
53	11	29
54	11	29
55	11	29
56	11	29
57	11	28
58	11	28
59	12	28
60	12	28
61	12	27
62	12	27
63	12	27
64	13	27
65	13	27
66	13	26
67	13	26
68	13	26
69	14	26
70	14	25
71	14	25
72	14	25
73	14	25
74	15	25
75	15	24
76	15	24
77	15	24
78	15	24
79	15	23
80	16	23
81	16	23
82	16	23
83	16	23
84	16	22
85	17	22
86	17	22
87	17	22
88	17	22
89	17	21
90	18	21
91	18	21
92	18	21
93	18	20
94	18	20
95	18	20
96	19	20
97	19	20
98	19	19
99	19	19
100	19	19
101	20	19
102	20	19
103	20	18
104	20	18
105	20	18
106	21	18
107	21	18
108	21	17
109	21	17
110	21	17
111	22	17
112	22	17
113	22	17
114	22	16
115	23	16
116	23	16
117	23	16
118	23	16
119	23	15
120	24	15
121	24	15
122	24	15
123	24	15
124	25	15
125	25	14
126	25	14
127	25	14
128	25	14
129	26	14
130	26	13
131	26	13
132	26	13
133	26	13
134	27	13
135	27	12
136	27	12
137	27	12
138	27	12
139	28	12
140	28	11
141	28	11
142	28	11
143	28	11
144	29	11
145	29	10
146	29	10
147	29	10
148	29	10
149	30	10
150	30	9
151	30	9
152	30	9
153	30	9
154	30	8
155	31	8
156	31	8
157	31	8
158	31	8
159	31	7
160	32	7
161	32	7
162	32	7
163	32	7
164	32	6
165	33	6
166	33	6
167	33	6
168	33	6
169	33	5
170	34	5
171	34	5
172	34	5
173	34	5
174	34	4
175	34	4
176	35	4
177	35	4
178	35	4
179	35	3
180	35	3
181	36	3
182	36	3
183	36	3
184	36	2
185	36	2
186	37	2
187	37	2
188	37	2
189	37	1
190	37	1
191	38	1
192	38	1
193	38	1
194	38	0
195	38	0
196	39	0
197	39	0
198	39	0
199	39	0
